x_km,y_km,band,tile_id,dist_to_center_km,d_gold,d_gond,priority_weight,sensors
3,-2,5,"T(+3,-2)",3.605551275463989,1.3639236743192857,2.8498819995163855,0.6394173938413334,1
-4,-2,5,"T(-4,-2)",4.47213595499958,4.718042567207811,4.132328899298759,0.2308227337407052,0
-4,-1,5,"T(-4,-1)",4.123105625617661,4.222971213106682,4.06108184931085,0.23468218526751164,0
-4,0,5,"T(-4,+0)",4.0,3.727899859005552,4.0,0.25458897525284047,0
-4,1,5,"T(-4,+1)",4.123105625617661,3.240117624869363,4.123105625617661,0.2906877348526635,0
-3,-3,5,"T(-3,-3)",4.242640687119285,4.344261601090784,3.2061172494559336,0.29358942360534773,0
-3,-2,5,"T(-3,-2)",3.605551275463989,3.849190246989654,3.134870199468024,0.29986174579134117,0
-3,-1,5,"T(-3,-1)",3.1622776601683795,3.354118892888525,3.063623149480114,0.30640792585360144,0
-3,0,5,"T(-3,+0)",3.0,2.859047538787395,3.0,0.32689913684584304,0
-3,1,5,"T(-3,+1)",3.1622776601683795,2.3639761846862664,3.1622776601683795,0.3900192232566942,0
-2,-4,5,"T(-2,-4)",4.47213595499958,3.9704806349737556,2.505992817228334,0.369550130966079,0
-2,-3,5,"T(-2,-3)",3.605551275463989,3.475409280872627,2.209072203437452,0.4150975626936884,0
-2,-2,5,"T(-2,-2)",2.8284271247461903,2.9803379267714973,2.1374114996372895,0.4278236845139061,0
-2,-1,5,"T(-2,-1)",2.23606797749979,2.4852665726703678,2.0661644496493796,0.4412742421030917,0
-2,0,5,"T(-2,+0)",2.0,1.9901952185692389,2.0,0.45658030458730403,0
-2,1,5,"T(-2,+1)",2.23606797749979,1.4951238644681095,2.23606797749979,0.5899273917152814,0
-1,-4,5,"T(-1,-4)",4.123105625617661,3.1016283147555987,1.6970562748477143,0.5271324911435612,0
1,-4,5,"T(+1,-4)",4.123105625617661,1.4142135623730951,1.4422205101855958,0.619496715496477,0
2,0,5,"T(+2,+0)",2.0,1.485214062303388,1.99491739966147,0.5933964250412068,0
2,1,5,"T(+2,+1)",2.23606797749979,1.9802854164045174,2.23606797749979,0.4586555468728897,0
3,-1,5,"T(+3,-1)",3.1622776601683795,1.8589950284204153,2.9211290495042954,0.48567382931816155,0
3,0,5,"T(+3,+0)",3.0,2.354066382521544,2.9923760994922044,0.3915325015995604,0
3,1,5,"T(+3,+1)",3.1622776601683795,2.8491377366226733,3.1622776601683795,0.3279615702462931,0
4,-2,5,"T(+4,-2)",4.47213595499958,2.23606797749979,3.8473406993471206,0.41049757610882853,0
4,-1,5,"T(+4,-1)",4.123105625617661,2.727847348638572,3.9185877493350305,0.3415478612520536,0
4,0,5,"T(+4,+0)",4.0,3.2229187027397015,3.98983479932294,0.2921483350450599,0
4,1,5,"T(+4,+1)",4.123105625617661,3.7179900568408306,4.123105625617661,0.2552329090917408,0
